Country of disembarkation,Year,Arrivals
 Malaysia,1988,n.ap
 Malaysia,1989,n.ap
 Malaysia,1990,n.ap
 Malaysia,1991,n.ap
 Malaysia,1992,n.ap
 Malaysia,1993,n.ap
 Malaysia,1994,n.ap
 Malaysia,1995,466
 Malaysia,1996,812
 Malaysia,1997,671
 Malaysia,1998,1853
 Malaysia,1999,2852
 Malaysia,2000,3782
 Malaysia,2001,3558
 Malaysia,2002,1634
 Malaysia,2003,1422
 Malaysia,2004,2334
 Malaysia,2005,871
 Malaysia,2006,951
 Malaysia,2007,1447
 Malaysia,2008,1940
 Malaysia,2009,1816
 Malaysia,2010,2320
 Malaysia,2011,3377
 Malaysia,2012,3769
 Malaysia,2013,8337
 Malaysia,2014,10957
 Malaysia,2015,12983
 Malaysia,2016,12912
 Malaysia,2017,5281
 Malaysia,2018,1670
 Malaysia,2019,2323
 Malaysia,2020,354
 Malaysia,2021,n.ap
 Malaysia,2022,3428
 Malaysia,2023,14420
 Malaysia,2024,17507
 Malaysia,2025,20062
 Netherlands,1983,n.ap
 Netherlands,1984,n.ap
 Netherlands,1985,n.ap
 Netherlands,1986,n.ap
 Netherlands,1987,n.ap
 Netherlands,1988,n.ap
 Netherlands,1989,n.ap
 Netherlands,1990,n.ap
 Netherlands,1991,n.ap
 Netherlands,1992,n.ap
 Netherlands,1993,n.ap
 Netherlands,1994,n.ap
 Netherlands,1995,n.ap
 Netherlands,1996,n.ap
 Netherlands,1997,n.ap
 Netherlands,1998,n.ap
 Netherlands,1999,n.ap
 Netherlands,2000,n.ap
 Netherlands,2001,n.ap
 Netherlands,2002,n.ap
 Netherlands,2003,n.ap
 Netherlands,2004,n.ap
 Netherlands,2005,n.ap
 Netherlands,2006,n.ap
 Netherlands,2007,n.ap
 Netherlands,2008,n.ap
 Netherlands,2009,n.ap
 Netherlands,2010,n.ap
 Netherlands,2011,n.ap
 Netherlands,2012,n.ap
 Netherlands,2013,n.ap
 Netherlands,2014,n.ap
 Netherlands,2015,n.ap
 Netherlands,2016,n.ap
 Netherlands,2017,158
 Netherlands,2018,1812
 Netherlands,2019,1603
 Netherlands,2020,n.ap
 Netherlands,2021,n.ap
 Netherlands,2022,1
 Netherlands,2023,n.ap
 Netherlands,2024,n.ap
 Netherlands,2025,n.ap
 People's Rep. of China,1983,n.ap
 People's Rep. of China,1984,n.ap
 People's Rep. of China,1985,n.ap
 People's Rep. of China,1986,n.ap
 People's Rep. of China,1987,n.ap
 People's Rep. of China,1988,n.ap
 People's Rep. of China,1989,n.ap
 People's Rep. of China,1990,n.ap
 People's Rep. of China,1991,n.ap
 People's Rep. of China,1992,n.ap
 People's Rep. of China,1993,n.ap
 People's Rep. of China,1994,n.ap
 People's Rep. of China,1995,n.ap
 People's Rep. of China,1996,n.ap
 People's Rep. of China,1997,n.ap
 People's Rep. of China,1998,n.ap
 People's Rep. of China,1999,n.ap
 People's Rep. of China,2000,n.ap
 People's Rep. of China,2001,n.ap
 People's Rep. of China,2002,n.ap
 People's Rep. of China,2003,n.ap
 People's Rep. of China,2004,n.ap
